"-1.73","000210","2020-10-06","2020-10-06","기타 금융업"
"2.26","001520","2020-10-06","2020-10-06","시멘트, 석회, 플라스터 및 그 제품 제조업"
"3.94","207940","2020-10-06","2020-10-06","기초 의약물질 및 생물학적 제제 제조업"
"-1.36","002290","2020-10-06","2020-10-06","건물 건설업"
"-7.08","241820","2020-10-06","2020-10-06","의료용품 및 기타 의약 관련제품 제조업"
"-7.08","241820","2020-10-06","2020-10-06","의료용품 및 기타 의약 관련제품 제조업"
"-7.08","241820","2020-10-06","2020-10-06","의료용품 및 기타 의약 관련제품 제조업"
"-7.08","241820","2020-10-06","2020-10-06","의료용품 및 기타 의약 관련제품 제조업"
"1.07","097230","2020-10-06","2020-10-06","토목 건설업"
"-1.67","010620","2020-10-06","2020-10-06","선박 및 보트 건조업"
"2.11","047040","2020-10-07","2020-10-07","건물 건설업"
"0.41","084650","2020-10-07","2020-10-07","자연과학 및 공학 연구개발업"
"0.5","001470","2020-10-07","2020-10-07","토목 건설업"
"4.62","003520","2020-10-07","2020-10-07","의약품 제조업"
"-7.64","226950","2020-10-07","2020-10-07","자연과학 및 공학 연구개발업"
"0.82","000480","2020-10-07","2020-10-07","내화, 비내화 요업제품 제조업"
"0.82","000480","2020-10-07","2020-10-07","내화, 비내화 요업제품 제조업"
"0.82","000480","2020-10-07","2020-10-07","내화, 비내화 요업제품 제조업"
"1.97","241820","2020-10-07","2020-10-07","의료용품 및 기타 의약 관련제품 제조업"
"1","001260","2020-10-08","2020-10-08","토목 건설업"
"-1.14","000210","2020-10-08","2020-10-08","기타 금융업"
"0.92","010400","2020-10-08","2020-10-08","건물설비 설치 공사업"
"0.82","042660","2020-10-12","2020-10-12","선박 및 보트 건조업"
"1.66","028100","2020-10-12","2020-10-12","기반조성 및 시설물 축조관련 전문공사업"
"-0.41","112610","2020-10-12","2020-10-12","구조용 금속제품, 탱크 및 증기발생기 제조업"
"-0.41","112610","2020-10-12","2020-10-12","구조용 금속제품, 탱크 및 증기발생기 제조업"
