,회사명,종목코드
0,EMB,278990
1,HLB사이언스,343090
2,KC산업,112190
3,SK시그넷,260870
4,골프존데카,183410
5,관악산업,76340
6,굿센,243870
7,나눔테크,244880
8,나라소프트,288490
9,나우코스,257990
10,노드메이슨,317860
11,노브메타파마,229500
12,다원넥스뷰,323350
13,다이오진,271850
14,대동고려삼,178600
15,대주이엔티,114920
16,더콘텐츠온,302920
17,데이드림엔터,348840
18,데이터스트림즈,199150
19,도부마스크,227420
20,듀켐바이오,176750
21,디피코,163430
22,라이프사이언스테크놀로지,285770
23,라피치,403360
24,럭스피아,92590
25,렌딩머신,179720
26,로보쓰리,238500
27,로지스몬,223220
28,루켄테크놀러지스,162120
29,루트락,253610
30,메디쎄이,200580
31,메디안디노스틱,233250
32,메디젠휴먼케어,236340
33,명진홀딩스,267060
34,무송지오씨,135160
35,무진메디,322970
36,미래엔에듀파트너,208890
37,바스칸바이오제약,354390
38,바이오시네틱스,281310
39,바이오인프라생명과학,266470
40,바이오프로테크,199290
41,베른,322190
42,볼빅,206950
43,블루탑,191600
44,비엔디생활건강,215050
45,비엘헬스케어,86220
46,빅텐츠,210120
47,뿌리깊은나무들,266170
48,선바이오,67370
49,셀젠텍,258250
50,수프로,185190
51,스템랩,258540
52,시큐센,232830
53,썬테크,217320
54,씨알푸드,236030
55,씨앗,103660
56,씨앤에스링크,245450
57,씨엔티드림,286000
58,아이케이세미콘,149010
59,아퓨어스,149300
60,안지오랩,251280
61,앙츠,267810
62,엄지하우스,224810
63,에스알바이오텍,270210
64,에스엔피제네틱스,86460
65,에스엘에스바이오,246250
66,에스엠비나,299670
67,에스제이켐,217910
68,에스케이씨에스,224020
69,에이원알폼,234070
70,에이치엔에스하이텍,44990
71,에이펙스인텍,207490
72,엔솔바이오사이언스,140610
73,엔에스엠,238170
74,엔에스컴퍼니,224760
75,엔지브이아이,93510
76,엘리비젼,276240
77,엘에이티,311060
78,오션스톤,329020
79,원포유,122830
80,위월드,140660
81,유니포인트,121060
82,유비온,84440
83,유엑스엔,337840
84,유투바이오,221800
85,이노벡스,279060
86,이노진,344860
87,이비테크,208850
88,이성씨엔아이,379390
89,이앤에치,341310
90,이엠티,232530
91,인바이츠바이오코아,216400
92,제노텍,66830
93,제이엠멀티,254160
94,젬,248020
95,지앤이헬스케어,299480
96,진코스텍,250030
97,질경이,233990
98,청광건설,140290
99,켈스,402420
100,코나솔,176590
101,코셋,189350
102,코스텍시스템,169670
103,큐엠씨,136660
104,크로넥스,215570
105,타스컴,336040
106,타임기술,318660
107,탑선,180060
108,태양기계,116100
109,테크엔,308700
110,테크트랜스,258050
111,토마토시스템,393210
112,틸론,217880
113,파마리서치바이오,217950
114,파워풀엑스,266870
115,판도라티비,202960
116,펨토바이오메드,327610
117,퓨쳐메디신,341170
118,프로테옴텍,303360
119,플럼라인생명과학,222670
120,피노텍,150440
121,피엔아이컴퍼니,242350
122,한국미라클피플사,331660
123,한중엔시에스,107640
124,휴벡셀,212310
