,회사명,종목코드
0,3S,60310
1,APS홀딩스,54620
2,AP시스템,265520
3,AP위성,211270
4,BNGT,32790
5,CBI,13720
6,CJ ENM,35760
7,CJ 바이오사이언스,311690
8,CJ프레시웨이,51500
9,CMG제약,58820
10,CNH,23460
11,CNT85,56730
12,CS,65770
13,CSA 코스믹,83660
14,DB금융스팩8호,367340
15,DB금융스팩9호,367360
16,DMS,68790
17,DSC인베스트먼트,241520
18,EDGC,245620
19,EG,37370
20,ES큐브,50120
21,EV수성,84180
22,FSN,214270
23,GH신소재,130500
24,GRT,900290
25,GST,83450
26,HB솔루션,297890
27,HB테크놀러지,78150
28,HK이노엔,195940
29,HLB,28300
30,HLB생명과학,67630
31,HLB제약,47920
32,HLB테라퓨틱스,115450
33,HPSP,403870
34,HRS,36640
35,IBKS제12호스팩,335870
36,IBKS제13호스팩,351340
37,IBKS제16호스팩,388790
38,IBKS제17호스팩,405350
39,IBKS제18호스팩,424760
40,ISC,95340
41,ITX-AI,99520
42,JTC,950170
43,JW신약,67290
44,JYP Ent.,35900
45,KBG,318000
46,KBI메탈,24840
47,KB오토시스,24120
48,KCC건설,21320
49,KCI,36670
50,KD,44180
51,KG ETS,151860
52,KG모빌리언스,46440
53,KG이니시스,35600
54,KH 건설,226360
55,KH 전자,111870
56,KH바텍,60720
57,KNN,58400
58,KPX생명과학,114450
59,KT서브마린,60370
60,KX,122450
61,KX하이텍,52900
62,LX세미콘,108320
63,NEW,160550
64,NE능률,53290
65,NHN벅스,104200
66,NHN한국사이버결제,60250
67,NICE평가정보,30190
68,PN풍년,24940
69,RFHIC,218410
70,RF머트리얼즈,327260
71,S&K폴리텍,91340
72,SBI인베스트먼트,19550
73,SBI핀테크솔루션즈,950110
74,SBS콘텐츠허브,46140
75,SBW생명과학,151910
76,SCI평가정보,36120
77,SDN,99220
78,SFA반도체,36540
79,SG,255220
80,SG&G,40610
81,SGA,49470
82,SGA솔루션즈,184230
83,SGC이테크건설,16250
84,SK5호스팩,337450
85,SK6호스팩,340350
86,SM C&C,48550
87,SM Life Design,63440
88,SV인베스트먼트,289080
89,THE E&M,89230
90,THE MIDONG,161570
91,THQ,192410
92,TJ미디어,32540
93,TKG애강,22220
94,TPC,48770
95,TS인베스트먼트,246690
96,TS트릴리온,317240
97,UCI,38340
98,WI,73570
99,YBM넷,57030
100,YTN,40300
101,YW,51390
102,iMBC,52220
103,가비아,79940
104,가온미디어,78890
105,가온칩스,399720
106,감성코퍼레이션,36620
107,강스템바이오텍,217730
108,강원에너지,114190
109,갤럭시아머니트리,94480
110,경남스틸,39240
111,경남제약,53950
112,경동제약,11040
113,경창산업,24910
114,고려시멘트,198440
115,고려신용정보,49720
116,고려제약,14570
117,고바이오랩,348150
118,고영,98460
119,골드앤에스,35290
120,골드퍼시픽,38530
121,골든센츄리,900280
122,골프존,215000
123,골프존뉴딘홀딩스,121440
124,공구우먼,366030
125,광림,14200
126,광무,29480
127,광진실업,26910
128,교보10호기업인수목적,355150
129,교보11호스팩,397880
130,교보12호스팩,421800
131,교보9호스팩,331520
132,구영테크,53270
133,국보디자인,66620
134,국순당,43650
135,국영지앤엠,6050
136,국일신동,60480
137,국일제지,78130
138,국전약품,307750
139,그래디언트,35080
140,그리티,204020
141,그린플러스,186230
142,글로벌에스엠,900070
143,글로벌텍스프리,204620
144,글로본,19660
145,금강철강,53260
146,금화피에스시,36190
147,기가레인,49080
148,기산텔레콤,35460
149,까스텔바작,308100
150,나노,187790
151,나노브릭,286750
152,나노신소재,121600
153,나노씨엠에스,247660
154,나노엔텍,39860
155,나노캠텍,91970
156,나라엠앤디,51490
157,나래나노텍,137080
158,나무가,190510
159,나무기술,242040
160,나스미디어,89600
161,나우IB,293580
162,나이벡,138610
163,나이스디앤비,130580
164,나이스정보통신,36800
165,나인테크,267320
166,남화산업,111710
167,남화토건,91590
168,내츄럴엔도텍,168330
169,네오리진,94860
170,네오셈,253590
171,네오오토,212560
172,네오위즈,95660
173,네오위즈홀딩스,42420
174,네오이뮨텍,950220
175,네오크레마,311390
176,네오티스,85910
177,네오팜,92730
178,네오펙트,290660
179,네온테크,306620
180,네이블커뮤니케이션즈,153460
181,네이처셀,7390
182,네패스,33640
183,네패스아크,330860
184,넥스턴바이오,89140
185,넥스트아이,137940
186,넥스트칩,396270
187,넥스틴,348210
188,넥슨게임즈,225570
189,넵튠,217270
190,노랑풍선,104620
191,노바렉스,194700
192,노바텍,285490
193,노블엠앤비,106520
194,노을,376930
195,노터스,278650
196,녹십자엠에스,142280
197,녹십자웰빙,234690
198,녹원씨엔아이,65560
199,농우바이오,54050
200,누리플랜,69140
201,누리플렉스,40160
202,누보,332290
203,뉴로스,126870
204,뉴보텍,60260
205,뉴인텍,12340
206,뉴지랩파마,214870
207,뉴트리,270870
208,뉴파워프라즈마,144960
209,뉴프렉스,85670
210,다나와,119860
211,다날,64260
212,다믈멀티미디어,93640
213,다보링크,340360
214,다산네트웍스,39560
215,다올인베스트먼트,298870
216,다우데이타,32190
217,다원시스,68240
218,대동금속,20400
219,대동기어,8830
220,대동스틸,48470
221,대륙제관,4780
222,대림제지,17650
223,대명소노시즌,7720
224,대명에너지,389260
225,대모,317850
226,대보마그네틱,290670
227,대봉엘에스,78140
228,대성미생물,36480
229,대성엘텍,25440
230,대성창투,27830
231,대성파인텍,104040
232,대신밸런스제10호스팩,387310
233,대신밸런스제11호스팩,397500
234,대신밸런스제12호스팩,426670
235,대신정보통신,20180
236,대아티아이,45390
237,대양전기공업,108380
238,대양제지,6580
239,대원,7680
240,대원미디어,48910
241,대원산업,5710
242,대유,290380
243,대유에이피,290120
244,대정화금,120240
245,대주산업,3310
246,대주전자재료,78600
247,대창솔루션,96350
248,대창스틸,140520
249,대한과학,131220
250,대한광통신,10170
251,대한그린파워,60900
252,대한뉴팜,54670
253,대한약품,23910
254,대호특수강,21040
255,대화제약,67080
256,더네이쳐홀딩스,298540
257,더블유에스아이,299170
258,덕산네오룩스,213420
259,덕산테코피아,317330
260,덕산하이메탈,77360
261,덕신하우징,90410
262,덕우전자,263600
263,데브시스터즈,194480
264,데이타솔루션,263800
265,덱스터,206560
266,덴티스,261200
267,도이치모터스,67990
268,동구바이오제약,6620
269,동국S&C,100130
270,동국산업,5160
271,동국알앤에스,75970
272,동국제약,86450
273,동방선기,99410
274,동성화인텍,33500
275,동신건설,25950
276,동아엘텍,88130
277,동아화성,41930
278,동양에스텍,60380
279,동양이엔피,79960
280,동양파일,228340
281,동우팜투테이블,88910
282,동운아나텍,94170
283,동원개발,13120
284,동일금속,109860
285,동일기연,32960
286,동일철강,23790
287,동진쎄미켐,5290
288,동화기업,25900
289,두산테스나,131970
290,듀오백,73190
291,드래곤플라이,30350
292,드림시큐리티,203650
293,드림씨아이에스,223250
294,드림어스컴퍼니,60570
295,디딤,217620
296,디모아,16670
297,디바이스이엔지,187870
298,디비금융스팩10호,404950
299,디스플레이텍,66670
300,디아이티,110990
301,디아크,78590
302,디알젬,263690
303,디알텍,214680
304,디앤씨미디어,263720
305,디어유,376300
306,디에스앤엘,141020
307,디에스케이,109740
308,디에이테크놀로지,196490
309,디에이피,66900
310,디엑스앤브이엑스,180400
311,디엔에이링크,127120
312,디엔에프,92070
313,디오,39840
314,디와이디,219550
315,디와이씨,310870
316,디와이피엔에프,104460
317,디이엔티,79810
318,디젠스,113810
319,디지아이,43360
320,디지캡,197140
321,디지털대성,68930
322,디지틀조선,33130
323,디케이락,105740
324,디케이앤디,263020
325,디케이티,290550
326,디티앤씨,187220
327,딜리,131180
328,딥노이드,315640
329,라닉스,317120
330,라온시큐어,42510
331,라온테크,232680
332,라온피플,300120
333,라이온켐텍,171120
334,라이트론,69540
335,라이프시맨틱스,347700
336,라파스,214260
337,래몽래인,200350
338,램테크놀러지,171010
339,랩지노믹스,84650
340,러셀,217500
341,레고켐바이오,141080
342,레드로버,60300
343,레드캡투어,38390
344,레몬,294140
345,레이,228670
346,레이언스,228850
347,레이저쎌,412350
348,레이크머티리얼즈,281740
349,레인보우로보틱스,277810
350,로보로보,215100
351,로보스타,90360
352,로보티즈,108490
353,로스웰,900260
354,로지시스,67730
355,로체시스템즈,71280
356,루닛,328130
357,루멘스,38060
358,루트로닉,85370
359,룽투코리아,60240
360,리노공업,58470
361,리노스,39980
362,리더스 기술투자,19570
363,리더스코스메틱,16100
364,리드코프,12700
365,리메드,302550
366,리파인,377450
367,린드먼아시아,277070
368,링네트,42500
369,링크제니시스,219420
370,마니커에프앤지,195500
371,마이더스AI,222810
372,마이크로디지탈,305090
373,마이크로컨텍솔,98120
374,마이크로프랜드,147760
375,마인즈랩,377480
376,마크로젠,38290
377,매일유업,267980
378,매일홀딩스,5990
379,매직마이크로,127160
380,매커스,93520
381,맥스트,377030
382,머큐리,100590
383,멀티캠퍼스,67280
384,메가스터디,72870
385,메가스터디교육,215200
386,메가엠디,133750
387,메드팩토,235980
388,메디아나,41920
389,메디앙스,14100
390,메디콕스,54180
391,메디톡스,86900
392,메디포스트,78160
393,메디프론,65650
394,메이슨캐피탈,21880
395,메지온,140410
396,메카로,241770
397,메타바이오메드,59210
398,멕아이씨에스,58110
399,멜파스,96640
